,sentence,relevant,chexpert_label,keyword_label,related_rad_label,other_finding
108,There is no pneumothorax,0.0,,,,0.0
109,Heart size is partially obscured by left pleural effusion but appears within normal limits,0.0,,,,1.0
110,Correct positioning of Dobbhoff tube ending in mid gastric cavity,0.0,,,,0.0
111,"Interval increase of left lung base collapse and pleural effusion, is concerning for pneumonia",0.0,,,,1.0
112,"As compared to the previous radiograph, no relevant change is noted",1.0,,,,0.0
113,The lung volumes are low,0.0,,,,0.0
114,Atelectasis of the left lower lobe with potential accompanying small left pleural effusion,0.0,,,,1.0
115,Unchanged moderate cardiomegaly,0.0,,,,1.0
116,No change in appearance of the normal right lung,1.0,,,,0.0
117,Nasogastric tube is in unchanged position,0.0,,,,0.0
118,"Unchanged left lower lobe pneumonia, with slightly improved aeration likely due to decreased adjacent atelectasis",0.0,,,,1.0
119,Increased mild pulmonary vascular congestion,1.0,1.0,1.0,1.0,
120,"Persistent left retrocardiac opacity, with increasing volume loss manifested by inferior displacement of the left hilum and apparent displacement of left major fissure, consistent with left lower lobe atelectasis",0.0,,,,1.0
121,Coexisting pneumonia is possible in the appropriate clinical setting,0.0,,,,1.0
122,Right lung and pleural surfaces are clear,0.0,,,,0.0
123,"Dobbhoff tube has been replaced, and is malpositioned with coiling in the mid thoracic esophagus and distal tip directed cephalad at the cervicothoracic junction",0.0,,,,0.0
124,"At the time of this dictation, subsequently obtained chest x-rays document re-positioning",0.0,,,,0.0
125,"Cardiomediastinal contours are stable, and there is worsening left retrocardiac opacity adjacent to an unchanged left pleural effusion",0.0,,,,1.0
126,Patchy atelectasis at the right lung base is new,0.0,,,,1.0
127,"Otherwise, no relevant short interval change",1.0,,,,0.0
128,"Interval repositioning of Dobbhoff tube, now terminating in the stomach",0.0,,,,0.0
129,"Improving left retrocardiac atelectasis, and near resolution of patchy right basilar atelectasis",0.0,,,,1.0
130,"Otherwise, no relevant change since the recent study performed about two hours earlier",1.0,,,,0.0
131,"Worsening left retrocardiac opacity, most likely due to atelectasis, although coexisting infectious consolidation is possible in the appropriate clinical setting",0.0,,,,1.0
132,"Otherwise, similar appearance of the chest compared to the previous radiograph performed several hours earlier",1.0,,,,0.0
133,AP portable upright view of the chest,0.0,,,,0.0
134,Trace pneumoperitoneum is within post surgical limits,0.0,,,,
135,The heart is mildly enlarged,0.0,,,,1.0
136,The hilar and mediastinal contours are within normal limits,0.0,,,,0.0
137,A retrocardiac left basilar opacity likely reflects atelectasis,0.0,,,,1.0
138,There is no pneumothorax,0.0,,,,0.0
139,Tiny bilateral pleural effusions are present,0.0,,,,1.0
140,"Left retrocardiac opacity, likely representing atelectasis",0.0,,,,1.0
141,Small consolidations in this area cannot be excluded,0.0,,,,1.0
142,"Trace pneumoperitoneum, within post surgical limits",0.0,,,,0.0
143,Trace bilateral pleural effusions,0.0,,,,1.0
144,Interval resolution of small pneumoperitoneum,0.0,,,,0.0
145,Worsening left-sided pleural effusion,0.0,,,,1.0
146,"The cardiac, mediastinal and hilar contours appear unchanged",0.0,,,,1.0
147,There is again borderline cardiomegaly,0.0,,,,1.0
148,"Allowing for rotation as well as scoliosis, the cardiac, mediastinal and hilar contours are probably unchanged",0.0,,,,1.0
149,There is similar mild relative elevation of the left hemidiaphragm,0.0,,,,
150,There is no definite pleural effusion or pneumothorax,0.0,,,,0.0
151,The lungs appear clear,1.0,,0.0,,0.0
152,A PICC line terminates in the lower superior vena cava,0.0,,,,0.0
153,PICC line terminating in the lower superior vena cava,0.0,,,,0.0
154,No evidence of acute disease,1.0,,0.0,,0.0
155,"Bilateral pleural effusions, pulmonary edema, and marked enlargement of the cardiac silhouette suggest CHF, however underlying consolidation due to pneumonia at the lung bases not excluded in the appropriate clinical setting",1.0,1.0,1.0,1.0,1.0
156,"Pulmonary edema has nearly resolved, with associated resolving right pleural effusion",1.0,0.0,1.0,,1.0
157,"Stable cardiomegaly, and small left pleural effusion with adjacent basilar atelectasis",0.0,,,,1.0
158,"As compared to the previous radiograph, the patient has received an additional pacemaker lead",0.0,,,,0.0
159,There is no evidence of right pneumothorax and no evidence of right mediastinal widening,0.0,,,,0.0
160,"At the right lung bases, an area of atelectasis persists in unchanged manner as compared to the previous radiograph",0.0,,,,1.0
161,No pleural effusions,0.0,,,,0.0
162,Moderate cardiomegaly without evidence of acute pulmonary edema,1.0,0.0,0.0,,1.0
163,"PA and lateral chest compared to ___ through ___: No pneumothorax, pleural effusion or new mediastinal widening",0.0,,,,0.0
164,Right middle lobe collapse and extensive extrapleural fat deposition are chronic findings,0.0,,,,1.0
165,Moderate cardiomegaly is also longstanding,0.0,,,,1.0
166,Lungs are grossly clear and there is no pulmonary edema,1.0,0.0,0.0,,0.0
167,Transvenous right atrial and left ventricular pacer and right ventricular pacer defibrillator leads are unchanged since ___ which showed replacement of the previous left ventricular lead and insertion of a new one in the right atrium,0.0,,,,
168,There is no pneumothorax,0.0,,,,0.0
169,"Left-sided pacemaker has three leads, one in right atrium, one in right ventricle and the last one in the coronary sinus",0.0,,,,0.0
170,Left jugular line is at the junction of brachiocephalic vein and superior vena cava,0.0,,,,0.0
171,Right-sided PICC line is still looped in the distal subclavian vein and ends in the upper SVC,0.0,,,,0.0
172,Bibasilar consolidation which is probably atelectasis is unchanged,0.0,,,,1.0
173,Moderate cardiomegaly is stable,0.0,,,,1.0
174,The stomach is more dilated than previous exam,0.0,,,,0.0
175,CONCLUSION: 1,0.0,,,,0.0
176,There is no pneumothorax,0.0,,,,0.0
177,Right-sided PICC line is still looped inside the subclavian vein,0.0,,,,0.0
178,Unchanged bibasilar consolidation,0.0,,,,1.0
179,This was discussed with the medical team,0.0,,,,0.0
180,"As compared to the previous radiograph, the gastric distention has decreased",0.0,,,,0.0
181,There is unchanged evidence of low lung volumes with areas of atelectasis at the lung bases,0.0,,,,1.0
182,"The ECG cables, pacemaker wires and right PICC line are constant",0.0,,,,0.0
183,Unchanged moderate cardiomegaly,0.0,,,,1.0
184,No new parenchymal opacities in the ventilated lung zones,1.0,,,0.0,
185,No pneumothorax,0.0,,,,0.0
186,"As compared to the previous radiograph, there is no relevant change",1.0,,,,0.0
187,Moderate cardiomegaly with moderate pulmonary edema,1.0,1.0,1.0,,1.0
188,The areas of increased density at the right lung base are minimally progressive,0.0,,,,1.0
189,No new parenchymal opacities,1.0,,,0.0,
190,No pneumothorax,0.0,,,,0.0
191,"As compared to the previous image, there is minimally improved ventilation at both the left and right lung base",0.0,,,,0.0
192,Plate-like atelectasis at the level of the left hilus,0.0,,,,1.0
193,Normal size of the cardiac silhouette,0.0,,,,0.0
194,No evidence of pneumothorax,0.0,,,,0.0
195,"Compared chest radiograph from ___, there is little overall change",1.0,,,,0.0
196,"Swans-Ganz catheter, ETT and esophageal drainage tubes are unchanged in standard placements",0.0,,,,0.0
197,"Left cardiac pacing/defibrillator device with transvenous right atrial, right ventricular and coronary sinus/left ventricular leads in unchanged position",0.0,,,,
198,Right basilar atelectasis has worsened,0.0,,,,1.0
199,Left retrocardiac opacification minimally changed and probably reflects a combination of pleural effusion and atelectasis,0.0,,,1.0,1.0
200,There is no pneumothorax,0.0,,,,0.0
201,There is no vascular engorgement or pulmonary edema,1.0,0.0,0.0,,0.0
202,No evidence of vascular engorgement or cardiac decompensation,1.0,,0.0,0.0,0.0
203,Worsening right basal atelectasis,0.0,,,,1.0
204,Unchanged left basal atelectasis,0.0,,,,1.0
205,Comparison to ___,0.0,,,,0.0
206,The patient has been extubated and the nasogastric tube was removed,0.0,,,,0.0
207,Moderate cardiomegaly persists,0.0,,,,1.0
208,The pacemaker is in stable position,0.0,,,,0.0
209,Also stable is the left-sided Swan-Ganz catheter,0.0,,,,0.0
210,"No pulmonary edema, minimal atelectasis at the right lung basis is stable",1.0,0.0,0.0,,0.0
211,"In comparison with the study of ___, the monitoring and support devices are unchanged",0.0,,,,0.0
212,Swan-Ganz catheter again extends well into the left pulmonary artery system,0.0,,,,0.0
213,"Continued enlargement of the cardiac silhouette without appreciable vascular congestion, a discordance that raise the possibility of cardiomyopathy",1.0,0.0,0.0,,1.0
214,No acute focal pneumonia,0.0,,,,0.0
215,The lungs are clear of focal consolidation or pneumothorax,1.0,,0.0,,0.0
216,There is a small left pleural effusion or pleural thickening,0.0,,,,1.0
217,"The heart continues to be enlarged, and there is a left cardiac pacer device is with leads terminating in appropriate position",0.0,,,,1.0
218,The mediastinal contours are normal,0.0,,,,0.0
219,Outpouching of the left hemidiaphragm may reflect a hiatal hernia or eventration which can be better assessed with a conventional PA radiograph,0.0,,,,
220,No pneumonia or pulmonary edema,1.0,0.0,0.0,,0.0
221,Small left pleural effusion or pleural thickening,0.0,,,,1.0
222,"As compared to the previous image, no relevant change is seen",1.0,,,,0.0
223,The pacemaker leads are in constant position,0.0,,,,0.0
224,Moderate cardiomegaly persists,0.0,,,,1.0
225,No overt pulmonary edema,1.0,0.0,0.0,,0.0
226,"No pneumonia, no pleural effusions",0.0,,,,0.0
227,Moderate elongation of the descending aorta,0.0,,,,0.0
228,Frontal and lateral views of the chest demonstrate low lung volumes,0.0,,,,0.0
229,Diffuse bilateral opacities have progressed since prior exams,1.0,,,1.0,
230,There is small left pleural effusion,0.0,,,,1.0
231,Hilar and mediastinal silhouettes are unchanged,0.0,,,,1.0
232,Heart size is top normal,0.0,,,,0.0
233,Aortic arch calcifications are noted,0.0,,,,
234,Right Port-A-Cath tip projects over proximal right atrium,0.0,,,,0.0
235,Surgical clips and biliary stent project over right upper abdomen,0.0,,,,0.0
236,Cervical fixation hardware is in place,0.0,,,,0.0
237,"Diffuse bilateral opacities, most likely pulmonary edema, have progressed since prior studies",1.0,1.0,1.0,1.0,
238,"However, superimposed infection cannot be excluded in the appropriate clinical setting",0.0,,,,1.0
239,"As compared to the previous radiograph, the vertebral fixation devices in the right-sided Port-A-Cath are in constant position",0.0,,,,0.0
240,The pre-existing parenchymal opacities have slightly decreased in extent and severity,1.0,,,1.0,
241,"Also, a component of minimal interstitial fluid overload is less severe than on the previous image",1.0,,1.0,,0.0
242,Unchanged cardiac silhouette,0.0,,,,1.0
243,No pleural effusions,0.0,,,,0.0
244,Anterior cervical fixation hardware is redemonstrated,0.0,,,,0.0
245,"A right Port-A-Cath ends in the right atrium, as before",0.0,,,,0.0
246,"Pre-existing parenchymal opacities are increased from ___, particularly in the right lung base and possibly in the left lung base",1.0,,,1.0,
247,There is unchanged background pulmonary interstitial edema,1.0,1.0,1.0,,
248,No large pleural effusion or pneumothorax is appreciated,0.0,,,,0.0
249,The cardiomediastinal contours are within normal limits and unchanged,0.0,,,,0.0
250,Unchanged pulmonary edema,1.0,1.0,1.0,,
251,Concurrent right basilar pneumonia and possible multifocal infection involving the left lung base,0.0,,,,1.0
252,"As compared to the previous radiograph, the lung volumes have slightly decreased",0.0,,,,0.0
253,"The diffuse bilateral parenchymal opacities, right more than left, are unchanged in extent and distribution",1.0,,,1.0,
254,Increasing atelectasis at the left lung base,0.0,,,,1.0
255,The size of the cardiac silhouette is constant,0.0,,,,1.0
256,Right subclavian Port-A-Cath continues to have its tip in the distal SVC,0.0,,,,0.0
257,"There continue to be diffuse bilateral parenchymal and interstitial opacities, which are likely not significantly changed, although there is some improvement in aeration",1.0,,,1.0,
258,There is likely a layering left effusion,0.0,,,,1.0
259,No pneumothorax,0.0,,,,0.0
260,Overall cardiac and mediastinal contours are likely unchanged given differences in positioning,0.0,,,,1.0
261,Hardware is seen overlying the lower cervical spine,0.0,,,,0.0
262,No pneumothorax,0.0,,,,0.0
263,The cardiac silhouette is indistinct,0.0,,,1.0,1.0
264,Hazy perihilar opacities and ill-defined pulmonary vascular markings are consistent with pulmonary edema,1.0,1.0,1.0,1.0,
265,Blunting of the costophrenic angles and basilar opacities are compatible with moderate-sized pleural effusions and bibasilar atelectasis,0.0,,,1.0,1.0
266,Narrowing of the right acromiohumeral interval is consistent with rotator cuff injury,0.0,,,,0.0
267,Deformity of the distal right clavicle is compatible with a prior injury at this location,0.0,,,,
268,Leads of a right chest wall pacer terminate over the right atrium and ventricle,0.0,,,,0.0
269,Pulmonary edema with moderate-sized bilateral pleural effusions and atelectasis,1.0,1.0,1.0,,1.0
270,Pulmonary vasculature is less dilated and there is less pulmonary edema than on prior exam,1.0,1.0,1.0,,
271,There is a right pleural effusion,0.0,,,,1.0
272,There is plate atelectasis in the left mid zone,0.0,,,,1.0
273,The right ventricle pacer wire passes in a supero-oblique direction within the heart instead the usual infero-oblique direction,0.0,,,,0.0
274,There is no pneumothorax,0.0,,,,0.0
275,Heart size cannot be assessed due to bilateral bibasilar opacities,0.0,,,0.0,1.0
276,There is a possibility that there an underlying pneumonia hidden by the pleural effusion and pulmonary edema,1.0,1.0,1.0,,1.0
277,Recommend followup imaging as the edema clears,1.0,0.0,1.0,,0.0
278,Right pleural effusion,0.0,,,,1.0
279,Left basilar plate atelectasis,0.0,,,,1.0
280,Improving pulmonary edema,1.0,1.0,1.0,,
281,Recommend followup chest imaging to rule out pneumonia after pulmonary edema has cleared,1.0,1.0,1.0,,0.0
282,Assessment is limited due to positioning,0.0,,,,0.0
283,"Allowing for this limitation, there patchy pulmonary opacities in the left mid lung and the left base, overlying the region of the apex in this radiograph, with obscuration of the lateral hemidiaphragm",0.0,,,1.0,1.0
284,Right basilar streaky opacities may represent chronic fibrosis and associated atelectasis,0.0,,,1.0,1.0
285,There is no pneumothorax,0.0,,,,0.0
286,Heart size cannot be properly assessed in this exam,0.0,,,,1.0
287,Findings compatible with left lower lobe pneumonia,0.0,,,,1.0
288,"Since the prior radiograph performed 2 hours earlier, there has been interval repositioning of the NG tube, which now terminates in the stomach",0.0,,,,0.0
289,The right-sided PICC line terminates at the cavoatrial junction,0.0,,,,0.0
290,"Improving right lung base opacity, and stable appearance of left lung base opacity",0.0,,,,
291,There is no pneumothorax,0.0,,,,0.0
292,Cardiomediastinal silhouette is mildly enlarged,0.0,,,,1.0
293,Atherosclerotic calcifications noted in the aortic arch,0.0,,,,
294,Repositioned NG tube now terminates in the stomach,0.0,,,,0.0
295,"In comparison with the study of ___, the patient is oblique to the left",0.0,,,,0.0
296,This may account for the apparent increase in opacification at the left base with poor definition of the hemidiaphragm,0.0,,,1.0,1.0
297,Otherwise little change,1.0,,,,0.0
298,"In comparison with the study of ___, the Dobbhoff tube has been removed",0.0,,,,0.0
299,There is again hazy opacification at the bases consistent with layering effusions and compressive atelectasis at the base,0.0,,,1.0,1.0
300,Enlargement of the cardiac silhouette with pulmonary vascular congestion persists,1.0,1.0,1.0,1.0,1.0
301,ET tube in appropriate position,0.0,,,,0.0
302,Left lower lobe collapse,0.0,,,,1.0
303,Mild pulmonary edema,1.0,1.0,1.0,,
304,"Small bilateral pleural effusions, the left pleural effusion has decreased",0.0,,,,1.0
305,ET and enteric tubes remain in satisfactory position,0.0,,,,0.0
306,Moderate to severe pulmonary edema is unchanged,1.0,1.0,1.0,,
307,Moderate bilateral layering pleural effusions appear slightly larger on today's exam,0.0,,,,1.0
308,There is no pneumothorax,0.0,,,,0.0
309,The heart and mediastinum cannot be accurately assessed due to projection and significant airspace disease,0.0,,,,1.0
310,Regional bones and soft tissues are unremarkable,0.0,,,,0.0
311,Stable moderate to severe pulmonary edema,1.0,1.0,1.0,,
312,Slight interval increase in moderate layering bilateral pleural effusions,0.0,,,,1.0
313,"Smaller moderate right pleural effusion, moderate cardiomegaly which is unchanged, and vascular congestion which is stable",1.0,1.0,1.0,,1.0
314,Interval removal of a previous left PICC line,0.0,,,,0.0
315,"A zone of minimally increased density is seen in the ight lower lobe, concerning for a possible consolidation",0.0,,,,1.0
316,"Bilateral, perihilar lymphadenopathy is noted, unchanged in appearance from prior examination",0.0,,,,0.0
317,"There is no pleural effusion, pneumothorax, or pulmonary edema",1.0,0.0,0.0,,0.0
318,The heart size is normal,0.0,,,,0.0
319,Mediastinal contours are stable,0.0,,,,1.0
320,"Right lower lobe consolidation, concerning for early pneumonia",0.0,,,,1.0
321,Findings were entered into the radiology dashboard by Dr,0.0,,,,0.0
322,"___ at 1:22pm on ___, 5 minutes after discovery",0.0,,,,0.0
323,A single portable chest radiograph was provided,0.0,,,,0.0
324,"There has been improvement in the left and right hilar opacities, likely representing combination of pneumonia and lymphadenopathy",0.0,,,1.0,1.0
325,There is left basilar atelectasis,0.0,,,,1.0
326,Cardiomediastinal silhouette is unchanged,0.0,,,,1.0
327,No pneumothorax or pleural effusions are present,0.0,,,,0.0
328,Improvement in right perihilar opacity consistent with improving infection,0.0,,,,1.0
329,The heart size is normal,0.0,,,,0.0
330,The mediastinal contour is unchanged,0.0,,,,1.0
331,Fullness of the hila bilaterally along with widespread perihilar ill-defined opacities and more focal opacification in the right lung base appear slightly progressed in the interval,1.0,,,1.0,
332,No pneumothorax is demonstrated,0.0,,,,0.0
333,Small right pleural effusion is noted,0.0,,,,1.0
334,There is no acute osseous abnormality,0.0,,,,0.0
335,Slight worsening of widespread perihilar and right basilar opacities reflective of lymphomatous infiltration with superimposed bronchitis,0.0,,,1.0,1.0
336,More focal opacity in the right lung base is concerning for pneumonia,0.0,,,,1.0
337,Small right pleural effusion,0.0,,,,1.0
338,"In comparison with the study of ___, the monitoring and support devices are essentially unchanged",0.0,,,,0.0
339,The tip of the endotracheal tube lies approximately 5,0.0,,,,0.0
340,2 cm above the carina,0.0,,,,0.0
341,Cardiac silhouette remains within normal limits,0.0,,,,0.0
342,There is some further improvement in the right basilar opacification as well as a slight improvement in the degree of pulmonary vascular congestion,1.0,1.0,1.0,1.0,1.0
343,Single frontal view of the chest,0.0,,,,0.0
344,"Endotracheal tube, NG tube, and right IJ central venous catheter are in stable position",0.0,,,,0.0
345,Pulmonary congestion has improved since the prior exam with decreased prominence of the pulmonary vascular markings,1.0,1.0,1.0,1.0,
346,Masslike consolidation in the right lower lung with central adenopathy is similar to prior,0.0,,,,1.0
347,No pneumothorax,0.0,,,,0.0
348,Heart size is normal and minimal widening of the vascular pedicle is stable,0.0,,,,0.0
349,Interval improvement of pulmonary vascular congestion with stable right lower lung masslike consolidation,1.0,1.0,1.0,1.0,1.0
350,Lung volumes are low resulting in crowding of the pulmonary vasculature,0.0,,,,0.0
351,No definite consolidation concerning for pneumonia is identified,0.0,,,,1.0
352,Small bilateral effusions are new,0.0,,,,1.0
353,There is no evidence of pneumothorax,0.0,,,,0.0
354,New small bilateral pleural effusions,0.0,,,,1.0
355,"Increased interstitial opacities bilaterally, right greater than left, representing pulmonary edema",1.0,1.0,1.0,1.0,
356,Moderate stable cardiomegaly,0.0,,,,1.0
357,PA and lateral views of the chest,0.0,,,,0.0
358,Moderate cardiomegaly is again noted,0.0,,,,1.0
359,There has been interval improvement of the right lung base opacity,0.0,,,,1.0
360,There has also been decrease in size of the pleural effusion on the right which is now trace,0.0,,,,1.0
361,Persistent slightly increased interstitial markings are noted,1.0,,,1.0,
362,There is no new consolidation,0.0,,,,1.0
363,Interval improvement of the right basilar opacity and small effusion,0.0,,,,1.0
364,"Otherwise, no change",1.0,,,,0.0
365,"There is potentially mild interstitial edema, not significantly changed",1.0,1.0,1.0,,
366,"The heart size is moderately enlarged, overall stable compared to the prior exams",0.0,,,,1.0
367,"There is mild pulmonary vascular congestion with cephalization of the vessels and bilateral hilar fullness, without evidence of definite pulmonary edema",1.0,1.0,1.0,1.0,
368,There is a new focal consolidation overlying the right lower lobe compared to the prior exam,0.0,,,,1.0
369,There is increased left lung base atelectasis,0.0,,,,1.0
370,No large pleural effusions are identified,0.0,,,,0.0
371,There is no evidence of a pneumothorax,0.0,,,,0.0
372,New focal consolidation overlying the right lower lobe concerning for pneumonia,0.0,,,,1.0
373,"Stable cardiomegaly with cephalization of the vessels and hilar fullness, without evidence of pulmonary edema",1.0,0.0,0.0,1.0,1.0
